('v', 'v', 'mq'),7
('v', 'nr', 'j'),7
('l', 'd', 'n'),7
('n', 'n', 'vg'),6
('z', 'a', 'n'),6
('q', 'a', 'n'),6
('a', 'nrt', 'n'),6
('v', 'ng', 'v'),6
('m', 'q', 'n'),6
('c', 'n', 'nr'),6
('a', 'v', 's'),6
('n', 'r', 't'),6
('r', 't', 'v'),6
('n', 's', 'd'),6
('r', 'n', 'm'),6
('ns', 'n', 's'),6
('v', 'n', 'zg'),6
('n', 'f', 'z'),6
('nr', 'v', 'nz'),6
('v', 'ns', 'c'),6
('ns', 'c', 'v'),6
('c', 'v', 'a'),6
('j', 'v', 'v'),6
('nr', 'n', 'ad'),6
('n', 'ad', 'n'),6
('m', 'd', 'l'),6
('ns', 'nr', 'n'),6
('nr', 't', 'm'),6
('v', 'nz', 'f'),6
('m', 'd', 'd'),6
('r', 'ns', 'n'),6
('n', 'ns', 't'),6
('t', 'l', 'v'),6
('a', 's', 'n'),6
('m', 'vn', 'n'),6
('v', 'm', 'i'),6
('a', 'l', 'v'),6
('a', 'nz', 'n'),6
('f', 'n', 'nr'),6
('d', 'a', 't'),6
('i', 'm', 'n'),6
('f', 't', 'n'),6
('i', 'nr', 'n'),6
('ns', 'n', 'r'),6
('d', 'd', 'nr'),6
('ns', 'l', 'n'),6
('nr', 'l', 'n'),6
('n', 'nr', 'l'),6
('nr', 'nrt', 'n'),6
('f', 'v', 'i'),6
('a', 'nr', 't'),6
('nr', 'v', 'r'),6
('a', 'z', 'v'),6
('s', 'v', 't'),6
('n', 'c', 'ns'),6
('c', 'ns', 'n'),6
('f', 'c', 'v'),6
('l', 'n', 't'),6
('df', 'n', 'n'),6
('d', 'nr', 'd'),6
('v', 's', 'l'),6
('n', 'ng', 'f'),6
('v', 'n', 'nz'),6
('s', 'r', 'v'),6
('n', 'l', 'f'),6
('v', 'v', 'an'),6
('i', 'i', 'n'),6
('v', 'm', 'nz'),6
('n', 'nrt', 'nrt'),6
('j', 'n', 'n'),6
('v', 'r', 'nr'),6
('nz', 'n', 'a'),6
('c', 'ns', 'v'),6
('d', 's', 'n'),6
('d', 'a', 'r'),6
('m', 'm', 'nr'),6
('n', 'l', 't'),6
('ng', 'n', 'v'),6
('v', 'zg', 'n'),6
('v', 'a', 't'),6
('t', 'r', 'v'),6
('s', 'v', 'r'),6
('n', 'vn', 'a'),6
('v', 't', 'nz'),6
('mq', 'v', 'n'),6
('nr', 'v', 'c'),6
('o', 'o', 'v'),6
('nr', 'c', 'v'),6
('s', 'a', 'v'),6
('a', 'ns', 'a'),6
('r', 'nr', 'v'),6
('n', 'm', 't'),6
('nr', 'c', 'd'),6
('m', 'f', 'd'),6
('f', 'd', 'ns'),6
('vn', 'v', 'nr'),6
('ns', 'ns', 'm'),6
('ns', 'd', 'ns'),6
('v', 'd', 'f'),6
('ns', 'm', 'ns'),6
('m', 'ns', 'ns'),6
('m', 'n', 'i'),6
('nr', 'd', 'i'),6
('i', 'v', 't'),6
('nr', 'd', 'm'),6
('n', 't', 'c'),6
('d', 'nr', 'nr'),6
('t', 'd', 'm'),6
('l', 'd', 'd'),6
('v', 'r', 'c'),6
('l', 'n', 'ns'),6
('f', 'q', 'n'),6
('n', 'u', 'v'),6
('n', 'o', 'o'),6
('m', 'z', 'n'),6
('r', 'n', 'a'),6
('a', 'i', 'n'),6
('v', 'm', 'zg'),6
('t', 'f', 'n'),6
('v', 't', 'r'),6
('v', 't', 'nrt'),6
('d', 'i', 'n'),6
('v', 'r', 'd'),6
('nz', 'v', 'n'),6
('ad', 'v', 'nr'),6
('nrt', 'v', 'm'),6
('n', 'n', 'df'),6
('ns', 'v', 'f'),5
('nrt', 'v', 'd'),5
('vn', 'n', 'vn'),5
('n', 'n', 'j'),5
('v', 'l', 't'),5
('l', 't', 'v'),5
('v', 'j', 'v'),5
('r', 'i', 'v'),5
('t', 'v', 'ng'),5
('q', 'v', 'nr'),5
('f', 'z', 'v'),5
('a', 'ns', 'm'),5
('v', 'r', 'a'),5
('i', 'd', 'n'),5
('l', 'v', 'r'),5
('v', 'a', 'r'),5
('a', 'n', 'i'),5
('ns', 'd', 'd'),5
('v', 'm', 'r'),5
('m', 'l', 'v'),5
('vn', 'm', 'n'),5
('ns', 'v', 'r'),5
('a', 'v', 'i'),5
('i', 'v', 'd'),5
('v', 'nz', 'd'),5
('v', 'f', 'r'),5
('ns', 'n', 'c'),5
('s', 's', 'v'),5
('l', 'd', 'l'),5
('nr', 'a', 'd'),5
('nr', 'n', 'z'),5
('a', 'n', 'nz'),5
('l', 'l', 'd'),5
('f', 'nr', 'd'),5
('v', 'm', 's'),5
('ns', 't', 'n'),5
('m', 'i', 'n'),5
('z', 'v', 'd'),5
('m', 's', 'n'),5
('v', 'i', 'm'),5
