('nr', 'df', 'v'),1
('df', 'v', 'n'),1
('n', 'm', 'l'),1
('c', 'm', 'f'),1
('v', 'v', 'p'),1
('v', 'p', 'b'),1
('p', 'b', 't'),1
('b', 't', 'n'),1
('nr', 'v', 'z'),1
('z', 'v', 'nr'),1
('n', 'ns', 'c'),1
('ns', 'c', 'd'),1
('c', 'v', 'm'),1
('f', 'd', 't'),1
('a', 'm', 'v'),1
('m', 'ns', 'df'),1
('ns', 'df', 's'),1
('df', 's', 'zg'),1
('s', 'zg', 'v'),1
('zg', 'v', 'm'),1
('nr', 'm', 'm'),1
('nr', 'm', 'a'),1
('s', 'a', 'r'),1
('a', 'r', 'zg'),1
('r', 'zg', 'n'),1
('zg', 'n', 'd'),1
('n', 'd', 'zg'),1
('d', 'zg', 'v'),1
('zg', 'v', 'nr'),1
('v', 'nr', 'c'),1
('nr', 'c', 'd'),1
('c', 'd', 'n'),1
('d', 'a', 'b'),1
('a', 'b', 'n'),1
('b', 'n', 'nrt'),1
('n', 'nrt', 'v'),1
('nrt', 'v', 'c'),1
('v', 'c', 'i'),1
('c', 'i', 'a'),1
('i', 'a', 'n'),1
('nr', 'm', 'zg'),1
('m', 'zg', 'n'),1
('f', 'a', 'v'),1
('v', 'v', 'b'),1
('f', 'd', 'ns'),1
('f', 'nr', 'n'),1
('a', 'n', 'vn'),1
('vn', 'n', 'b'),1
('n', 'b', 'ng'),1
('b', 'ng', 'f'),1
('ng', 'f', 'a'),1
('v', 'q', 'r'),1
('q', 'r', 'v'),1
('r', 'v', 'i'),1
('v', 'i', 'd'),1
('i', 'd', 'ns'),1
('t', 'ns', 'n'),1
('f', 'a', 'd'),1
('n', 'n', 'b'),1
('n', 'b', 'd'),1
('b', 'd', 'n'),1
('n', 's', 't'),1
('t', 'n', 'nr'),1
('v', 'n', 'ad'),1
('n', 'ad', 'd'),1
('ad', 'd', 'n'),1
('v', 's', 'p'),1
('s', 'p', 'm'),1
('p', 'm', 'a'),1
('f', 'v', 'b'),1
('d', 't', 'u'),1
('t', 'u', 'd'),1
('u', 'd', 'd'),1
('d', 'a', 't'),1
('a', 't', 'r'),1
('t', 'r', 'v'),1
('r', 'v', 'nr'),1
('nr', 't', 'a'),1
('a', 'nr', 'a'),1
('nr', 'a', 'q'),1
('a', 'q', 'a'),1
('q', 'a', 'v'),1
('r', 'v', 'm'),1
('a', 'n', 'z'),1
('n', 'z', 'f'),1
('z', 'f', 'n'),1
('z', 'nr', 'n'),1
('nr', 'n', 'df'),1
('n', 'df', 'v'),1
('df', 'v', 't'),1
('a', 'nr', 't'),1
('t', 'd', 'vn'),1
('nr', 'm', 's'),1
('m', 's', 'ad'),1
('s', 'ad', 'v'),1
('ad', 'v', 'v'),1
('nr', 'n', 'ns'),1
('ns', 't', 's'),1
('t', 's', 'ns'),1
('ns', 'n', 'd'),1
('a', 'd', 'b'),1
('d', 'b', 'nz'),1
('b', 'nz', 'f'),1
('nz', 'f', 'a'),1
('d', 'n', 'ns'),1
('ns', 'n', 'nt'),1
('n', 'nt', 'd'),1
('nt', 'd', 'c'),1
('r', 'v', 'q'),1
('q', 'v', 'f'),1
('f', 'v', 's'),1
('v', 'vn', 'v'),1
('vn', 'v', 'd'),1
('v', 'd', 'c'),1
('t', 'm', 'nr'),1
('d', 'ns', 'm'),1
('a', 'v', 'nz'),1
('v', 'vn', 's'),1
('vn', 's', 'n'),1
('n', 's', 'ns'),1
('s', 'ns', 'f'),1
('ns', 'f', 'v'),1
('l', 'v', 'f'),1
('v', 'f', 'f'),1
('f', 'f', 'v'),1
('l', 'nr', 'd'),1
('nr', 'd', 'nrfg'),1
('d', 'nrfg', 'm'),1
('nrfg', 'm', 't'),1
('t', 'ns', 'v'),1
('n', 'v', 'nrfg'),1
('v', 'nrfg', 'm'),1
('nrfg', 'm', 'v'),1
('v', 'l', 's'),1
('l', 's', 'nz'),1
('s', 'nz', 'n'),1
('nz', 'n', 'ns'),1
('d', 'l', 'n'),1
('a', 't', 'm'),1
('t', 'm', 't'),1
('d', 'a', 'r'),1
('a', 'r', 'l'),1
('r', 'l', 'v'),1
('n', 't', 'l'),1
('t', 'l', 'v'),1
('v', 'a', 'f'),1
('a', 'f', 'v'),1
('m', 'a', 'm'),1
('a', 'n', 'u'),1
('u', 'n', 'v'),1
('u', 'n', 'ns'),1
('v', 'r', 'ns'),1
('r', 'ns', 'n'),1
('n', 'nr', 'vn'),1
