('n', 'h', 'n'),5
('n', 'i', 'nr'),5
('a', 'r', 'n'),5
('s', 'n', 's'),5
('ns', 'f', 'v'),5
('d', 'v', 'q'),5
('a', 'n', 'z'),5
('r', 'v', 'r'),5
('d', 'f', 'v'),5
('a', 'nr', 'nr'),5
('n', 'a', 'c'),5
('v', 'q', 'f'),5
('nz', 'm', 'n'),5
('v', 'n', 'u'),5
('f', 'r', 'n'),5
('s', 'n', 'a'),5
('n', 's', 't'),5
('t', 'd', 'nr'),5
('n', 'j', 'v'),5
('z', 'v', 'nr'),5
('n', 'i', 'd'),5
('d', 'i', 'n'),5
('r', 'm', 'v'),5
('nr', 'n', 'i'),5
('t', 'nr', 'm'),5
('v', 's', 'nr'),5
('nrt', 'v', 'v'),5
('n', 'a', 'q'),4
('v', 'f', 'r'),4
('p', 'v', 'n'),4
('l', 'n', 'l'),4
('n', 'd', 'vn'),4
('m', 's', 'm'),4
('n', 'zg', 'v'),4
('l', 'ns', 'n'),4
('n', 'z', 'z'),4
('r', 'm', 'm'),4
('n', 'l', 'm'),4
('m', 'm', 'l'),4
('r', 't', 'v'),4
('d', 'r', 'v'),4
('a', 'l', 'a'),4
('d', 'n', 'c'),4
('n', 'r', 'r'),4
('v', 'ns', 'l'),4
('vg', 'n', 'n'),4
('q', 'nz', 'n'),4
('ns', 'n', 'ng'),4
('m', 't', 'd'),4
('n', 'n', 'o'),4
('v', 'n', 'df'),4
('i', 'v', 'm'),4
('t', 'r', 'v'),4
('d', 'm', 'f'),4
('n', 'i', 'c'),4
('f', 'i', 'n'),4
('l', 'l', 'n'),4
('f', 'n', 'i'),4
('v', 'tg', 'v'),4
('v', 'a', 'r'),4
('d', 'n', 'i'),4
('v', 'ad', 'v'),4
('d', 'z', 'v'),4
('n', 'v', 'mq'),4
('ng', 'm', 'n'),4
('n', 'm', 's'),4
('s', 'm', 'v'),4
('i', 'n', 'd'),4
('v', 'f', 'l'),4
('l', 'd', 'n'),4
('z', 'n', 'd'),4
('n', 'f', 'z'),4
('nr', 'f', 'nr'),4
('b', 'n', 'd'),4
('v', 's', 'b'),4
('f', 'm', 'ns'),4
('v', 'm', 'zg'),4
