('q', 'm', 'n'),4
('v', 'v', 'b'),4
('n', 'zg', 'n'),4
('z', 'v', 'm'),4
('f', 'd', 'nr'),4
('n', 'a', 'b'),4
('v', 'n', 'vn'),4
('v', 'r', 't'),4
('n', 'f', 'b'),4
('a', 'df', 'v'),4
('v', 'ns', 'f'),4
('n', 'nrfg', 'v'),4
('n', 'nr', 'c'),4
('m', 's', 'nr'),4
('v', 'ns', 'd'),4
('nr', 'v', 'q'),4
('nrfg', 'v', 'n'),4
('n', 'q', 'a'),4
('f', 't', 'n'),3
('v', 'ng', 'nr'),3
('ng', 'nr', 'v'),3
('q', 's', 'n'),3
('nr', 'm', 'a'),3
('f', 'n', 's'),3
('v', 'q', 'f'),3
('q', 'f', 'v'),3
('n', 'd', 'q'),3
('s', 'nr', 'f'),3
('n', 't', 'ns'),3
('v', 'f', 'f'),3
('i', 'nr', 'n'),3
('z', 'm', 'nr'),3
('v', 'nr', 'q'),3
('v', 's', 'b'),3
('b', 'n', 'a'),3
('nrt', 'n', 'v'),3
('i', 'v', 'a'),3
('t', 'ns', 'n'),3
('nr', 'a', 'm'),3
('a', 'm', 'a'),3
('r', 'n', 'nr'),3
('n', 'f', 'q'),3
('l', 'n', 'nr'),3
('n', 'ng', 'f'),3
('l', 'nr', 'n'),3
('v', 'n', 'vg'),3
('c', 'v', 'ns'),3
('s', 'v', 'i'),3
('a', 's', 'v'),3
('n', 'an', 'v'),3
('v', 'r', 'm'),3
('i', 's', 'n'),3
('v', 'ns', 'c'),3
('m', 'n', 'df'),3
('l', 'v', 'd'),3
('a', 'n', 'z'),3
('n', 'f', 'nz'),3
('nr', 'z', 'v'),3
('t', 'z', 'v'),3
('n', 'r', 'd'),3
('v', 'r', 'a'),3
('n', 's', 'l'),3
('s', 'l', 'n'),3
('n', 's', 'z'),3
('a', 'r', 'nr'),3
('n', 'nrfg', 'n'),3
('ns', 'v', 'd'),3
('v', 'q', 'ns'),3
('q', 'ns', 'n'),3
('m', 'd', 'a'),3
('rz', 'n', 'd'),3
('n', 'a', 'vn'),3
('r', 's', 'v'),3
('v', 'd', 'f'),3
('d', 'f', 'd'),3
('o', 'o', 'v'),3
('o', 'v', 'n'),3
('t', 'f', 'v'),3
('a', 's', 't'),3
('a', 's', 'a'),3
('a', 'v', 'l'),3
('ng', 'a', 'n'),3
('d', 'n', 'df'),3
('i', 'a', 'nr'),3
('nr', 'b', 'v'),3
('l', 'l', 'v'),3
('i', 'n', 'f'),3
('d', 'd', 'nr'),3
('v', 's', 'l'),3
('nr', 'ns', 'd'),3
('a', 'r', 'v'),3
('s', 'ns', 'n'),3
('v', 'v', 'nrt'),3
('z', 'a', 'n'),3
('v', 'v', 'j'),3
('n', 'm', 'vn'),3
('d', 'r', 'v'),3
('v', 'a', 'c'),3
('t', 's', 'n'),3
('n', 'a', 'nz'),3
('a', 'nz', 'v'),3
('rz', 'n', 'n'),3
('z', 'v', 't'),3
('a', 'ng', 'v'),3
('d', 't', 'nr'),3
('n', 's', 't'),3
('s', 't', 'n'),3
('nrt', 't', 'n'),3
('a', 'r', 'n'),3
('v', 'v', 'vn'),3
('a', 'n', 'i'),3
('n', 'm', 'q'),3
('nr', 'nr', 'm'),3
('a', 'n', 'c'),3
('v', 'd', 'l'),3
('v', 't', 'f'),3
('nr', 'c', 'n'),3
('v', 'u', 'v'),3
('v', 'a', 'vn'),3
('vn', 'd', 'v'),3
('a', 'l', 'n'),3
('q', 'd', 'n'),3
('c', 'v', 'nr'),3
('d', 'v', 'z'),3
('n', 'm', 'l'),3
('l', 'v', 's'),3
('a', 't', 'nr'),3
('n', 't', 's'),3
('v', 's', 'z'),3
('a', 'm', 'z'),3
('nr', 'r', 'n'),3
('a', 'v', 'r'),3
('f', 's', 'nr'),3
('t', 't', 'd'),3
('d', 'f', 'n'),3
('nr', 'f', 'd'),3
('v', 's', 'r'),3
('v', 'c', 't'),3
('c', 't', 'v'),3
('df', 'n', 'v'),3
('t', 'v', 'q'),3
('t', 'r', 'v'),3
