('v', 'z', 'm'),7
('f', 'v', 's'),7
('m', 'nr', 't'),7
('t', 's', 'v'),7
('f', 'vn', 'v'),7
('v', 'r', 'm'),7
('r', 'm', 'n'),7
('v', 'c', 'd'),7
('d', 'n', 'b'),7
('zg', 'v', 'v'),7
('d', 'a', 'nr'),7
('v', 'nt', 'n'),7
('d', 'n', 's'),7
('n', 'f', 'q'),7
('f', 'a', 'nr'),7
('r', 'v', 't'),7
('t', 'ns', 'v'),7
('n', 'n', 'nt'),7
('ns', 'v', 'd'),7
('v', 'd', 'q'),7
('nr', 'n', 'i'),7
('vn', 'r', 'v'),7
('i', 'n', 'nr'),7
('j', 'n', 'n'),7
('z', 'n', 'd'),7
('b', 'v', 'm'),7
('ns', 'a', 'n'),7
('a', 'b', 'v'),7
('vn', 'v', 'm'),7
('b', 'v', 'nr'),7
('nr', 'm', 'nr'),7
('i', 'n', 'f'),7
('v', 'v', 'j'),7
('m', 'i', 'n'),7
('n', 'zg', 'n'),7
('f', 'm', 'nr'),7
('v', 'n', 'nt'),7
('d', 'v', 'b'),7
('m', 'n', 'z'),7
('l', 'm', 'n'),7
('ns', 'd', 'n'),7
('c', 'm', 'n'),7
('t', 'f', 'v'),7
('i', 'a', 'n'),7
('nr', 'nr', 'a'),7
('vn', 'v', 'nr'),7
('n', 't', 'f'),7
('ns', 'n', 't'),7
('n', 'v', 'nrfg'),7
('v', 'v', 'ad'),7
('d', 'n', 'c'),7
('v', 'nr', 'i'),7
('v', 'f', 'z'),7
('n', 'b', 'a'),7
('i', 'v', 'nr'),7
('s', 'n', 'm'),7
('d', 'n', 'r'),7
('q', 'n', 'a'),7
('v', 't', 'c'),7
('t', 'n', 'vn'),7
('n', 'vn', 'm'),7
('r', 'n', 't'),7
('v', 'm', 'nz'),7
('mq', 'v', 'n'),7
('f', 'v', 'z'),7
('c', 'v', 'c'),7
('d', 'm', 'nr'),7
('n', 'c', 'r'),7
('r', 't', 'n'),7
('t', 'v', 'ns'),7
('m', 'q', 'v'),7
('n', 'n', 'nz'),7
('a', 'r', 'n'),7
('mq', 'n', 'v'),7
('a', 'n', 'i'),7
('i', 'nr', 'n'),7
('n', 'a', 'vn'),7
('v', 'p', 'n'),7
('m', 'i', 'v'),7
('df', 'v', 'n'),7
('l', 't', 'n'),7
('v', 'nr', 'q'),7
('n', 'd', 'i'),7
('m', 'n', 'i'),7
('z', 'v', 's'),7
('n', 'l', 'r'),7
('d', 'vn', 'd'),7
('v', 'c', 'r'),7
('v', 'zg', 'v'),7
('v', 'r', 'f'),7
('nr', 'n', 'r'),7
('f', 'g', 'v'),7
('n', 'm', 'ns'),7
