('f', 'vn', 'ns'),2
('d', 'nr', 'f'),2
('f', 'v', 's'),2
('b', 't', 'v'),2
('v', 'mq', 'nr'),2
('t', 'f', 'v'),2
('a', 'q', 'v'),2
('v', 'an', 'a'),2
('a', 'ns', 'r'),2
('s', 'n', 't'),2
('m', 'i', 'd'),2
('nr', 'l', 'n'),2
('n', 'vn', 'a'),2
('ng', 'f', 'v'),2
('j', 'ns', 'd'),2
('v', 'vn', 'ad'),2
('vn', 'ad', 'v'),2
('b', 'v', 'm'),2
('ns', 'a', 'v'),2
('t', 'a', 'm'),2
('t', 'm', 'a'),2
('nr', 'b', 'n'),2
('c', 'm', 'n'),2
('nr', 'q', 'v'),2
('q', 'v', 'm'),2
('an', 'n', 'f'),2
('f', 'nr', 'n'),2
('d', 'ns', 'd'),2
('nr', 'd', 't'),2
('nr', 'f', 'a'),2
('z', 'v', 'c'),2
('a', 'a', 'f'),2
('ns', 'm', 'n'),2
('n', 'm', 'b'),2
('c', 'v', 'a'),2
('n', 's', 'm'),2
('m', 'm', 'ns'),2
('v', 's', 'm'),2
('t', 'n', 'nr'),2
('m', 'a', 'nr'),2
('v', 'd', 'f'),2
('n', 's', 'l'),2
('ng', 'v', 'nr'),2
('d', 'a', 'ns'),2
('ns', 's', 'a'),2
('d', 'n', 'b'),2
('vn', 'n', 'd'),2
('t', 'n', 'z'),2
('t', 'm', 'd'),2
('vn', 'ns', 'v'),2
('m', 'd', 'c'),2
('n', 'ns', 'nr'),2
('ns', 'nr', 'n'),2
('n', 'b', 'm'),2
('m', 't', 'a'),2
('m', 'nr', 'm'),2
('nr', 'm', 't'),2
('n', 'c', 'nr'),2
('d', 'a', 'r'),2
('a', 'v', 'b'),2
('ad', 'v', 'f'),2
('n', 'n', 'nz'),2
('nz', 'nr', 'v'),2
('n', 'vn', 'l'),2
('s', 'm', 'v'),2
('nrt', 'n', 'n'),2
('vn', 'v', 'r'),2
('r', 'n', 'm'),2
('f', 'vn', 'n'),2
