('n', 'v', 'vg'),3
('v', 'r', 'f'),3
('f', 's', 'v'),3
('ns', 'a', 'v'),3
('t', 'n', 'm'),3
('v', 'm', 'nrt'),3
('nrt', 'v', 'm'),3
('r', 'n', 'a'),3
('r', 'a', 'n'),3
('f', 'm', 'd'),3
('r', 'n', 'd'),3
('f', 'z', 'n'),3
('v', 'a', 'c'),3
('a', 'c', 'a'),3
('c', 'a', 'n'),3
('m', 'nz', 'v'),3
('i', 'a', 'n'),3
('d', 'z', 'v'),3
('v', 'u', 'v'),3
('v', 'd', 'ad'),3
('d', 'ad', 'n'),3
('v', 'a', 'an'),3
('l', 'm', 'n'),3
('d', 'i', 'v'),3
('v', 'f', 't'),3
('f', 't', 'n'),3
('n', 'f', 'b'),3
('c', 'd', 'd'),3
('v', 'nr', 'r'),3
('nr', 'r', 'n'),3
('s', 'n', 'a'),3
('vn', 'n', 'd'),3
('t', 'v', 'r'),3
('v', 'df', 'a'),3
('b', 'a', 'v'),3
('v', 'm', 'nz'),3
('m', 'v', 'ad'),3
('a', 'n', 'r'),3
('d', 'nr', 'a'),3
('v', 'an', 'v'),3
('an', 'n', 'v'),3
('v', 'df', 'v'),3
('d', 'nr', 'd'),3
('a', 'a', 'b'),3
('v', 'd', 'i'),3
('v', 'm', 'l'),3
('n', 'd', 'i'),3
('b', 'd', 'n'),3
('v', 'nr', 'z'),3
('vg', 'a', 'n'),3
('c', 'n', 'a'),3
('r', 'd', 'd'),3
('l', 'd', 'n'),3
('n', 'ns', 'f'),3
('n', 'nrt', 'd'),3
('nrt', 'd', 'n'),3
('d', 'n', 'c'),3
('s', 'n', 'd'),3
('v', 'd', 'vn'),3
('c', 'n', 'd'),3
('l', 'd', 'nr'),3
('nrt', 'v', 'l'),3
('l', 'nr', 'v'),3
('v', 'l', 'nrt'),3
('nrt', 'm', 'v'),3
('d', 'n', 'z'),3
('q', 'n', 'f'),3
('f', 'd', 'a'),3
('n', 'b', 'nr'),3
('o', 'v', 'v'),3
('d', 'i', 'a'),3
