('n', 'vg', 'nr'),2
('n', 'n', 'zg'),2
('n', 'zg', 'zg'),2
('zg', 'zg', 'n'),2
('zg', 'n', 'c'),2
('c', 'n', 'nr'),2
('v', 'n', 'u'),2
('n', 'u', 'n'),2
('n', 'ns', 'q'),2
('s', 'v', 's'),2
('n', 'r', 'a'),2
('a', 'v', 's'),2
('n', 'nz', 'n'),2
('nz', 'n', 'a'),2
('vn', 'n', 'd'),2
('n', 'l', 'd'),2
('l', 'd', 'n'),2
('nr', 'd', 's'),2
('v', 'c', 'm'),2
('m', 'v', 'z'),2
('m', 'v', 'd'),2
('nr', 't', 'a'),2
('d', 'd', 'd'),2
('nr', 'n', 'vn'),2
('d', 'v', 'vn'),2
('a', 'ad', 'v'),2
('n', 'm', 'ns'),2
('t', 'n', 'c'),2
('n', 'z', 's'),2
('n', 'r', 't'),2
('f', 'ns', 'v'),2
('i', 'n', 'a'),2
('d', 'f', 'v'),2
('r', 'nr', 'm'),2
('r', 'v', 'd'),2
('nr', 'nr', 'd'),2
('nr', 'vn', 'n'),2
('l', 'n', 'nr'),2
('d', 's', 'n'),2
('t', 'nr', 'a'),2
('b', 'v', 'v'),2
('t', 'n', 'z'),2
('v', 'm', 'i'),2
('m', 'i', 'n'),2
('r', 'n', 'a'),2
('v', 'q', 's'),2
('d', 'n', 'q'),2
('n', 's', 'z'),2
('s', 'z', 'v'),2
('n', 'nz', 'm'),2
('f', 'f', 'n'),2
('nr', 'z', 'v'),2
('z', 'v', 'a'),2
('d', 'n', 't'),2
('zg', 'v', 'n'),2
('n', 'zg', 'd'),2
('zg', 'n', 'v'),2
('f', 'vn', 'n'),2
('nr', 'v', 'f'),2
('v', 'zg', 'f'),2
('n', 'nz', 'v'),2
('s', 'n', 't'),2
('n', 't', 'f'),2
('ns', 'v', 'f'),2
('m', 'nr', 's'),2
('s', 'v', 'vn'),2
('z', 'a', 'n'),2
('t', 'v', 'nz'),2
('n', 'c', 't'),2
('s', 'v', 'ad'),2
('vg', 'a', 'n'),2
('a', 'n', 'b'),2
('d', 'r', 'n'),2
('s', 'r', 'v'),2
('n', 'f', 'l'),2
('d', 'l', 'n'),2
('t', 'v', 'b'),2
('m', 'nr', 'd'),2
('n', 'df', 'n'),2
('df', 'n', 'n'),2
('l', 'l', 'v'),2
('v', 'q', 'm'),2
('ns', 'a', 'n'),2
('m', 'a', 'd'),2
('f', 'v', 'r'),2
('l', 'v', 't'),2
('v', 's', 's'),2
('s', 'c', 'n'),2
('nr', 'f', 'm'),2
('c', 'vn', 'n'),2
('vn', 'd', 'n'),2
('m', 'm', 'f'),2
('n', 'v', 'an'),2
('an', 'v', 'n'),2
('q', 'a', 'n'),2
('d', 'd', 'a'),2
('v', 'ns', 'f'),2
('a', 'vg', 'n'),2
('vg', 'n', 'a'),2
('v', 'a', 'ng'),2
('n', 'q', 'm'),2
('n', 'nr', 'r'),2
('r', 'b', 'n'),2
('v', 'l', 't'),2
('v', 'a', 't'),2
('a', 't', 't'),2
('s', 'n', 'l'),2
('l', 'nr', 'a'),2
('n', 'nr', 'ng'),2
('ng', 'v', 'nr'),2
('q', 'd', 'n'),2
('d', 'n', 'l'),2
('l', 'n', 'a'),2
('nr', 'n', 't'),2
('n', 'nr', 'vg'),2
('nr', 'vg', 'n'),2
('m', 'a', 'nr'),2
('v', 'nr', 'ng'),2
('f', 'nr', 'd'),2
('f', 'm', 'm'),2
('a', 'm', 'm'),2
('n', 'nrt', 'n'),2
('nrt', 'n', 'nr'),2
('v', 't', 'c'),2
('d', 'vn', 'nr'),2
('n', 'mq', 'n'),2
('f', 'v', 'q'),2
('l', 'n', 'f'),2
('t', 'an', 'n'),2
('n', 'c', 'a'),2
('c', 'a', 'n'),2
('nr', 'a', 'm'),2
('a', 'm', 'l'),2
('n', 'v', 'y'),2
('nrt', 'n', 'n'),2
('nr', 'n', 'ng'),2
('n', 'ng', 'a'),2
('d', 'a', 't'),2
('m', 'v', 'nz'),2
('v', 'nz', 'ng'),2
('m', 'a', 'a'),2
('a', 'd', 'r'),2
('r', 't', 'nr'),2
('n', 'm', 'd'),2
('d', 'v', 'i'),2
('q', 'v', 'q'),2
('d', 'ns', 'n'),2
('s', 'r', 's'),2
('f', 'v', 'i'),2
('v', 'ns', 'q'),2
('t', 'v', 'ns'),2
('nr', 'v', 'l'),2
('l', 'v', 'q'),2
('a', 'd', 'nr'),2
('v', 'nr', 'c'),2
('c', 'v', 'd'),2
('n', 'n', 'mq'),2
('n', 'mq', 'v'),2
('v', 't', 's'),2
('v', 'v', 'ad'),2
('ad', 'v', 'm'),2
('nz', 'v', 'd'),2
('nr', 'nz', 'v'),2
('m', 'a', 'ns'),2
('n', 'l', 'l'),2
('l', 'l', 'n'),2
('a', 'n', 'ad'),2
('zg', 'n', 'nr'),2
('n', 'nr', 'ad'),2
('ad', 'v', 'd'),2
('i', 'n', 'm'),2
('n', 'j', 'nr'),2
('j', 'nr', 'n'),2
('f', 'n', 's'),2
('v', 'ng', 'f'),2
('ns', 'v', 's'),2
('v', 'v', 'p'),2
('m', 'n', 'vg'),2
('a', 'd', 'm'),2
('m', 'f', 'nr'),2
('z', 'n', 'd'),2
('vn', 'nr', 'nr'),2
('nr', 'q', 'v'),2
('nr', 'v', 'vg'),2
('n', 'vg', 'n'),2
('n', 'r', 'z'),2
('c', 'v', 'nr'),2
('nr', 'm', 'd'),2
('m', 't', 'nr'),2
('a', 'i', 'n'),2
('a', 'v', 'i'),2
('v', 'm', 's'),2
('d', 'zg', 'n'),2
('mq', 'v', 'v'),2
('a', 'nr', 'a'),2
('t', 'm', 'v'),2
('a', 'n', 'z'),2
('t', 'nr', 'nr'),2
('l', 'v', 'd'),2
('f', 'q', 'n'),2
('v', 'ng', 't'),2
('v', 'l', 'd'),2
('a', 'nr', 't'),2
('t', 'v', 'f'),2
('m', 'l', 'n'),2
('n', 'q', 'd'),2
('q', 'd', 'v'),2
('f', 'b', 'n'),2
('n', 'f', 'f'),2
('r', 'nr', 'n'),2
