('n', 'm', 's'),15
('a', 'v', 'f'),15
('r', 'nr', 'n'),15
('ns', 'n', 't'),15
('zg', 'v', 'v'),15
('f', 'r', 'v'),15
('v', 'n', 'nz'),15
('n', 'ng', 'd'),15
('m', 'nr', 'm'),15
('d', 'n', 'c'),15
('ng', 'd', 'v'),15
('n', 'a', 'l'),15
('n', 'ng', 'm'),14
('r', 'v', 't'),14
('l', 'v', 'nr'),14
('v', 's', 'ns'),14
('v', 'n', 'u'),14
('r', 'nr', 'v'),14
('nr', 'r', 'v'),14
('d', 'vn', 'n'),14
('l', 'd', 'n'),14
('d', 'v', 'vn'),14
('vn', 'n', 'a'),14
('t', 'r', 'v'),14
('d', 'm', 'nr'),14
('d', 's', 'n'),14
('vg', 'n', 'n'),14
('n', 'p', 'n'),14
('p', 'n', 'v'),14
('a', 'm', 'm'),14
('m', 'a', 'a'),14
('t', 's', 'n'),14
('m', 't', 'nr'),14
('v', 'mq', 'v'),14
('v', 'm', 'q'),14
('v', 'f', 's'),14
('s', 's', 'v'),14
('t', 'ns', 'n'),14
('v', 'm', 'c'),14
('l', 'a', 'v'),14
('l', 'n', 'l'),14
('n', 's', 'f'),14
('n', 's', 'l'),14
('t', 'm', 'm'),14
('v', 't', 'l'),14
('l', 't', 'v'),14
('c', 'nr', 'n'),14
('v', 'nrt', 'nrt'),14
('ns', 'n', 's'),13
('m', 'b', 'n'),13
('a', 'n', 'vn'),13
('c', 'm', 'n'),13
('m', 'd', 'd'),13
('a', 'm', 'd'),13
('v', 't', 'ns'),13
('n', 's', 't'),13
('vn', 'n', 'd'),13
('t', 's', 'v'),13
('m', 'c', 'v'),13
('v', 'f', 'f'),13
('v', 'd', 'f'),13
('v', 'v', 'mq'),13
('z', 'nr', 'v'),13
('nr', 'z', 'v'),13
('a', 'n', 'c'),13
('q', 'a', 'n'),13
('m', 'n', 'z'),13
('n', 'd', 'vn'),13
('n', 'mq', 'n'),13
('f', 'v', 'q'),13
('r', 'n', 'm'),13
('f', 'q', 'n'),13
('m', 'l', 'n'),13
('m', 's', 'n'),13
('n', 'n', 'o'),13
('o', 'v', 'n'),13
('v', 't', 'f'),13
('t', 'l', 'v'),13
('a', 'n', 'q'),13
('f', 'm', 'd'),13
('nr', 'nr', 'nr'),13
('nz', 'f', 'v'),13
('d', 'vn', 'v'),13
('i', 'm', 'n'),13
('l', 'n', 'm'),13
('m', 'f', 'm'),13
('f', 'v', 'l'),13
('m', 'nr', 'nr'),12
('v', 'a', 'b'),12
('n', 'a', 'c'),12
('nr', 'nr', 'm'),12
('n', 'u', 'n'),12
('ad', 'v', 'nr'),12
('nr', 's', 'd'),12
('n', 'q', 'f'),12
('n', 'zg', 'v'),12
('v', 'ad', 'n'),12
('p', 'n', 'n'),12
('n', 'm', 'l'),12
('f', 'v', 'r'),12
('n', 'v', 'ad'),12
('n', 'nr', 'r'),12
('n', 'f', 'q'),12
('ns', 'n', 'r'),12
('v', 't', 's'),12
('v', 'm', 'l'),12
('n', 'l', 'l'),12
('t', 'r', 'n'),12
('c', 'v', 'nr'),12
('v', 'm', 's'),12
('mq', 'v', 'v'),12
('v', 'q', 'f'),12
('v', 'm', 'z'),12
('n', 'o', 'v'),12
('n', 'r', 'm'),12
('a', 'n', 'ng'),12
('an', 'n', 'v'),12
('c', 'd', 'n'),12
('n', 'f', 'z'),12
('a', 'ns', 'd'),12
('n', 'ns', 't'),12
('d', 'i', 'n'),12
('n', 'i', 'm'),12
('v', 'n', 'o'),12
('n', 'l', 'm'),12
('v', 'ns', 'l'),12
('d', 'n', 'i'),12
('v', 's', 't'),12
('v', 'd', 'r'),12
('nrt', 'n', 'f'),12
('m', 'd', 'm'),12
('nr', 't', 'd'),12
('d', 'v', 'nrt'),12
('a', 'q', 'n'),11
('nr', 'i', 'v'),11
('r', 's', 'v'),11
('s', 'd', 'n'),11
('v', 't', 'r'),11
('f', 'ns', 'v'),11
('a', 'q', 'v'),11
('v', 'm', 'i'),11
('f', 'f', 'n'),11
('n', 'vn', 'a'),11
('b', 'n', 'nr'),11
('a', 'd', 'l'),11
('z', 'a', 'n'),11
('t', 'n', 's'),11
('s', 'r', 'v'),11
('df', 'n', 'n'),11
('t', 'f', 'n'),11
('v', 's', 'r'),11
('n', 'v', 'an'),11
('v', 'a', 't'),11
('c', 'a', 'n'),11
('q', 'f', 'v'),11
('z', 'n', 'm'),11
('a', 'i', 'n'),11
('t', 'd', 'm'),11
('q', 'n', 'nr'),11
('v', 'n', 'df'),11
('t', 'v', 'r'),11
('b', 'n', 'a'),11
('v', 'l', 'a'),11
('v', 'vn', 'd'),11
('n', 'v', 'zg'),11
('f', 't', 'n'),11
('r', 'n', 'r'),11
('nr', 'c', 'n'),11
('z', 'v', 'nr'),11
('nr', 'i', 'n'),11
('n', 'a', 'nrfg'),11
('mq', 'v', 'n'),11
('n', 'j', 'n'),11
('c', 'a', 'v'),11
('nrt', 'n', 'a'),11
('a', 'l', 'v'),11
('m', 'n', 'i'),11
('n', 'ns', 's'),11
('l', 'nr', 'd'),11
('v', 'm', 'nz'),11
('o', 'o', 'v'),11
('v', 'a', 'r'),11
('f', 'd', 'a'),11
('u', 'v', 'v'),11
('f', 'l', 'v'),11
('t', 'v', 'vn'),11
('m', 'r', 'n'),11
('i', 'a', 'n'),11
('i', 'v', 'd'),11
('ns', 'm', 'v'),11
('n', 'c', 'nr'),11
('n', 'i', 'd'),11
('ns', 'ns', 'd'),11
('nrt', 'd', 'v'),11
('n', 'ns', 'nr'),10
('v', 'r', 's'),10
('nr', 'n', 'r'),10
('n', 'c', 'm'),10
('z', 'n', 'a'),10
('c', 'n', 'nr'),10
('nz', 'n', 'a'),10
('n', 'r', 't'),10
('m', 'v', 'q'),10
('nr', 'v', 'q'),10
('n', 's', 'z'),10
('nz', 'm', 'n'),10
('i', 'v', 'm'),10
('n', 'f', 'vn'),10
('n', 'd', 'z'),10
('l', 'v', 's'),10
('l', 'l', 'v'),10
('z', 'n', 'f'),10
('a', 'm', 'nr'),10
('q', 'v', 'nr'),10
('m', 'a', 'nr'),10
('v', 'v', 'vg'),10
('v', 't', 'c'),10
('r', 'd', 'n'),10
('nr', 'd', 'm'),10
('d', 'a', 't'),10
('r', 'v', 'r'),10
('f', 'v', 'i'),10
('a', 'd', 'nr'),10
('n', 'mq', 'v'),10
('v', 'v', 'ad'),10
('a', 'd', 'm'),10
('z', 'n', 'd'),10
('nr', 'm', 'nr'),10
('a', 'nr', 'm'),10
('a', 'v', 'i'),10
('v', 'i', 'nr'),10
('l', 'n', 't'),10
('n', 'u', 'v'),10
('a', 'nr', 't'),10
('v', 'r', 't'),10
('n', 'df', 'v'),10
('o', 'v', 'v'),10
('m', 'n', 'vn'),10
('nr', 'v', 'c'),10
('z', 'v', 'd'),10
('m', 'n', 'ng'),10
('a', 'r', 'n'),10
